,주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,lat,lng
15,138-2-000017,동백 공영,공영,노외,부산광역시 해운대구 우1동 1151-3번지,72,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10.0,500.0,부산광역시 해운대구,35.1579456,129.153246
16,138-2-000018,청사포 공영,공영,노외,부산광역시 해운대구 중동 553번지,113,9:00,18:00,9:00,18:00,9:00,18:00,10,300,10.0,300.0,부산광역시 해운대구,35.1619351,129.1918024
17,138-1-000019,재반로 노상공영 A,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),24,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10.0,100.0,부산광역시 해운대구,35.1905068,129.1281684
18,138-1-000020,재반로 노상공영 B,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),17,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10.0,100.0,부산광역시 해운대구,35.1905068,129.1281684
19,138-1-000021,재반로 노상공영 C,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),20,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10.0,100.0,부산광역시 해운대구,35.1905068,129.1281684
20,138-1-000022,재반로 노상공영 D,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),19,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10.0,100.0,부산광역시 해운대구,35.1905068,129.1281684
21,138-1-000023,대천공원공영주차장,공영,노상,부산광역시 해운대구 좌동 1384번지,79,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10.0,200.0,부산광역시 해운대구,35.1784687,129.1684237
22,138-1-000024,동백공원공영주차장,공영,노상,부산광역시 해운대구 우동 721번지,129,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10.0,500.0,부산광역시 해운대구,35.1550831,129.1516065
23,138-4-000016,왕자주차장,민영,노외,부산광역시 해운대구 반여1동1405-37,10,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1960394,129.1178791
24,138-4-000017,양지주차장,민영,노외,부산광역시 해운대구 반송1동250-2343,6,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2197162,129.1527319
25,138-4-000018,장원주차장,민영,노외,"부산광역시 해운대구 반여1동1244-4,5",12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2052755,129.1249222
26,138-4-000019,송림주차장,민영,노외,"부산광역시 해운대구 우1동703-1,19",8,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,30.0,2000.0,부산광역시 해운대구,35.1582408,129.1565056
27,138-4-000020,미포주차장,민영,노외,부산광역시 해운대구 중1동1035-2,8,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1594146,129.170568
28,138-4-000021,반여주차장,민영,노외,부산광역시 해운대구 반여1동1010-9,12,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,10.0,100.0,부산광역시 해운대구,35.2057659,129.125008
29,138-4-000022,예스렌트카주차장,민영,노외,부산광역시 해운대구 중1동836,6,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,10.0,100.0,부산광역시 해운대구,35.1631879,129.1728766
30,138-4-000023,진영주차장,민영,노외,"부산광역시 해운대구 반송1동250-2296,2297",7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2198584,129.1530327
31,138-4-000024,삼성주차장,민영,노외,"부산광역시 해운대구 중1동1382-1,6,8,10",84,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,10.0,500.0,부산광역시 해운대구,35.161848,129.1615102
32,138-4-000025,성진주차장,민영,노외,부산광역시 해운대구 재송1동1118-4,16,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1853375,129.1261406
33,138-4-000026,태영주차장,민영,노외,부산광역시 해운대구 우1동544-1,12,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,0.0,0.0,부산광역시 해운대구,35.1615586,129.1598267
34,138-4-000027,일승주차장,민영,노외,부산광역시 해운대구 좌1동420-1,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1737104,129.1770796
35,138-4-000028,제일주차장,민영,노외,부산광역시 해운대구 반송1동744-87외1,13,10:00,22:00,10:00,22:00,10:00,22:00,30,500,30.0,1000.0,부산광역시 해운대구,35.2244685,129.146528
36,138-4-000029,해운대역주차장,민영,노외,부산광역시 해운대구 우1동552-21 (구562-4),20,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1651483,129.1606285
37,138-4-000030,고려주차장,민영,노외,부산광역시 해운대구 중1동1378-77,12,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,30.0,1500.0,부산광역시 해운대구,35.1636146,129.1635934
38,138-4-000031,제일주차장,민영,노외,부산광역시 해운대구 우1동175-3,24,10:00,22:00,10:00,22:00,10:00,22:00,30,500,30.0,1000.0,부산광역시 해운대구,35.1668465,129.1608118
39,138-4-000032,신도시주차장,민영,노외,부산광역시 해운대구 좌1동912,45,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0.0,0.0,부산광역시 해운대구,35.174463,129.1739178
40,138-4-000033,대성주차장,민영,노외,부산광역시 해운대구 반여1동955,27,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2070956,129.1256667
41,138-4-000034,24시주차장,민영,노외,부산광역시 해운대구 우1동647-8,32,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,30.0,1500.0,부산광역시 해운대구,35.1598768,129.1555662
42,138-4-000035,해우주차장,민영,노외,부산광역시 해운대구 중1동1396-59,24,10:00,22:00,10:00,22:00,10:00,22:00,30,2000,0.0,0.0,부산광역시 해운대구,35.1609404,129.1626322
43,138-4-000036,우동주차장,민영,노외,"부산광역시 해운대구 우1동437-3,439-1,440-3",29,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.167415,129.1591536
44,138-4-000037,대성주차장,민영,노외,부산광역시 해운대구 반송1동259-111,12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2252453,129.1477727
45,138-4-000038,해운대구청주차장,민영,노외,부산광역시 해운대구 중1동1378-95,99,10:00,22:00,10:00,22:00,10:00,0:00,10,300,0.0,0.0,부산광역시 해운대구,35.1631596,129.1638525
46,138-4-000039,반여동주차장,민영,노외,부산광역시 해운대구 반여1동740-6,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2114674,129.1258489
47,138-4-000040,신라주차장,민영,노외,"부산광역시 해운대구 재송2동210-27,42",31,10:00,22:00,10:00,22:00,10:00,22:00,60,1000,0.0,0.0,부산광역시 해운대구,35.1880208,129.121296
48,138-4-000041,신촌주차장,민영,노외,부산광역시 해운대구 반여1동1248,13,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.205266,129.1255524
49,138-4-000042,반송주차장,민영,노외,부산광역시 해운대구 반송1동744-206,7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2239598,129.1468482
50,138-4-000044,해천주차장,민영,노외,부산광역시 해운대구 반송1동250-2292,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2202614,129.1527407
51,138-4-000045,기장주차장,민영,노외,부산광역시 해운대구 우1동542-25,16,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,10.0,1000.0,부산광역시 해운대구,35.1616615,129.1596251
52,138-4-000046,대영주차장,민영,노외,부산광역시 해운대구 재송1동1071-26,7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1862317,129.1214734
53,138-4-000047,부일주차장,민영,노외,부산광역시 해운대구 우1동151-4외1,9,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,30.0,1000.0,부산광역시 해운대구,35.1669152,129.1599489
54,138-4-000048,성심주차장,민영,노외,부산광역시 해운대구 반송1동261-131,12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2267217,129.14779
55,138-4-000049,송민주차장,민영,노외,"부산광역시 해운대구 반송1동250-1004,1005",6,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2223192,129.1497063
56,138-4-000050,유진주차장,민영,노외,"부산광역시 해운대구 반송2동331-8,13",30,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2314312,129.1535853
57,138-4-000051,주차장,민영,노외,부산광역시 해운대구 중동 276-1,20,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1685895,129.1717072
58,138-4-000052,누리주차장,민영,노외,부산광역시 해운대구 우동 641-14,12,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,30.0,1500.0,부산광역시 해운대구,35.1616352,129.1563429
59,138-4-000053,한라주차장,민영,노외,부산광역시 해운대구 좌동 1521-3,363,10:00,22:00,10:00,22:00,10:00,22:00,60,1000,60.0,1000.0,부산광역시 해운대구,35.1838918,129.1763937
60,138-4-000054,해운대블루주차장,민영,노외,부산광역시 해운대구 좌동 1360,43,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1682661,129.1638287
61,138-4-000055,대천주차장,민영,노외,부산광역시 해운대구 좌동 1482-4,20,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0.0,0.0,부산광역시 해운대구,35.1677701,129.1780313
62,138-4-000056,5994주차장,민영,노외,부산광역시 해운대구 반여동 1607-18,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1993104,129.1319558
63,138-4-000057,청도주차장,민영,노외,부산광역시 해운대구 반송1동250-1687,15,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2244209,129.148788
64,138-4-000059,극동주차장,민영,노외,부산광역시 해운대구 중1동944-14,11,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1606484,129.1709567
65,138-4-000060,리베라세이브존주차장,민영,노외,부산광역시 해운대구 중1동1394-174,45,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,10.0,500.0,부산광역시 해운대구,35.1627806,129.1619208
66,138-4-000061,대신주차장,민영,노외,부산광역시 해운대구 반여3동1603-19,7,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,0.0,0.0,부산광역시 해운대구,35.2003786,129.1313699
67,138-4-000062,흥안인더스트리,민영,노외,부산광역시 해운대구 우1동626-4,10,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,30.0,2000.0,부산광역시 해운대구,35.1602169,129.1606265
68,138-4-000063,GS타임즈 해운대 제3,민영,노외,부산광역시 해운대구 우동 1305,6,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0.0,0.0,부산광역시 해운대구,35.1617706,129.1601887
69,138-4-000064,한양주차장,민영,노외,부산광역시 해운대구 재송1동1087-1,13,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,30.0,1000.0,부산광역시 해운대구,35.1868841,129.1242152
70,138-4-000065,GS타임즈 해운대 제2,민영,노외,부산광역시 해운대구 우1동762-46,18,10:00,22:00,10:00,22:00,10:00,22:00,20,1000,20.0,1000.0,부산광역시 해운대구,35.1593969,129.1535244
71,138-4-000066,행운주차장,민영,노외,부산광역시 해운대구 반여1동873,13,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,10.0,2000.0,부산광역시 해운대구,35.2087077,129.1240734
72,138-4-000067,해동주차장,민영,노외,부산광역시 해운대구 우1동381-1,16,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,0.0,0.0,부산광역시 해운대구,35.1688317,129.1563526
73,138-4-000068,강남주차장,민영,노외,부산광역시 해운대구 반송1동250-1751,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2244209,129.148788
74,138-4-000069,해운대비치주차장,민영,노외,부산광역시 해운대구 우1동649-1,17,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,30.0,1500.0,부산광역시 해운대구,35.1593081,129.1563143
75,138-4-000070,대천주차장,민영,노외,부산광역시 해운대구 좌2동1482-4,20,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0.0,0.0,부산광역시 해운대구,35.1677701,129.1780313
76,138-4-000071,진영주차장,민영,노외,"부산광역시 해운대구 좌2동1480-2,3",32,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0.0,0.0,부산광역시 해운대구,35.1685624,129.1774774
77,138-4-000072,지에스타임즈스테이션센텀필주차장,민영,노외,부산광역시 해운대구 재송1동12201221,290,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,30.0,1000.0,부산광역시 해운대구,35.1841107,129.1234151
78,138-4-000073,해운대온천센터주차장,민영,노외,부산광역시 해운대구 중1동1370-7외 8필지,158,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,30.0,2000.0,부산광역시 해운대구,35.1633239,129.165228
79,138-4-000074,신리주차장,민영,노외,부산광역시 해운대구 반송2동788-15외2,13,10:00,22:00,10:00,22:00,10:00,22:00,60,1000,0.0,0.0,부산광역시 해운대구,35.2308902,129.1530382
80,138-4-000075,센텀Q주차장,민영,노외,부산광역시 해운대구 우2동1483,399,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,0.0,0.0,부산광역시 해운대구,35.1729505,129.1315892
81,138-4-000076,코리아주차장,민영,노외,부산광역시 해운대구 중1동204-4,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1704703,129.1722084
82,138-4-000078,대형주차장,민영,노외,"부산광역시 해운대구 우1동 700,701-2,701-3,702",149,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,30.0,2000.0,부산광역시 해운대구,35.1628078,129.1580784
83,138-4-000079,조방주차장,민영,노외,부산광역시 해운대구 좌1동815-40,7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1732883,129.1723575
84,138-4-000080,동백주차장,민영,노외,부산광역시 해운대구 우1동542-6,16,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,10.0,500.0,부산광역시 해운대구,35.1619534,129.1595404
85,138-4-000081,동백섬주차장,민영,노외,"부산광역시 해운대구 우1동747-5,-6,-9,-10-11",78,10:00,22:00,10:00,22:00,10:00,22:00,60,6000,10.0,1000.0,부산광역시 해운대구,35.1571053,129.1526086
86,138-4-000082,하나주차장,민영,노외,부산광역시 해운대구 좌1동985-8,19,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,0.0,0.0,부산광역시 해운대구,35.1727076,129.174526
87,138-4-000083,IS프라자 근린상가주차장,민영,노외,부산광역시 해운대구 좌4동1431,297,10:00,22:00,10:00,22:00,10:00,22:00,60,1500,10.0,500.0,부산광역시 해운대구,35.1742657,129.1817916
88,138-4-000084,장산주차장,민영,노외,부산광역시 해운대구 좌1동1463-2,10,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1715816,129.1759314
89,138-4-000085,우리주차장,민영,노외,부산광역시 해운대구 우1동541-1,10,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,30.0,1000.0,부산광역시 해운대구,35.162483,129.1594875
90,138-4-000086,유로주차장,민영,노외,부산광역시 해운대구 우1동229-4,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1677809,129.161229
91,138-4-000087,반송주차장,민영,노외,부산광역시 해운대구 반송1동250-2463,4,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2244209,129.148788
92,138-4-000088,1박2일주차장,민영,노외,부산광역시 해운대구 우1동640-3,6,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,30.0,1500.0,부산광역시 해운대구,35.162237,129.1558026
93,138-4-000089,스카이문주차장,민영,노외,"부산광역시 해운대구 중2동1489-1, 1487-15",41,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1586994,129.1822118
94,138-4-000090,개미주차장,민영,노외,"부산광역시 해운대구 우1동1366, 1369",19,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,30.0,1500.0,부산광역시 해운대구,35.1610028,129.1604478
95,138-4-000091,선수촌주차장,민영,노외,"부산광역시 해운대구 반여1동1445-1,2",7,10:00,22:00,10:00,22:00,10:00,22:00,60,1500,0.0,0.0,부산광역시 해운대구,35.2007675,129.1200886
96,138-4-000092,삼성주차장,민영,노외,부산광역시 해운대구 반여1동1200-2,19,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,30.0,1000.0,부산광역시 해운대구,35.2029049,129.118888
97,138-4-000093,경안주차장,민영,노외,부산광역시 해운대구 반여1동289번지외 2필지,36,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2128111,129.1276193
98,138-4-000094,동해주차장,민영,노외,"부산광역시 해운대구 우1동520-23, 28, 38",6,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1660011,129.1590215
99,138-4-000096,한일주차장,민영,노외,부산광역시 해운대구 우동629-2,30,10:00,22:00,10:00,22:00,10:00,22:00,30,2000,20.0,2000.0,부산광역시 해운대구,35.1600067,129.1581912
100,138-4-000098,현대주차장,민영,노외,부산광역시 해운대구 우동 541-16,18,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,10.0,500.0,부산광역시 해운대구,35.1622857,129.1593903
101,138-4-000099,기린주차장,민영,노외,부산광역시 해운대구 송정동 129-5,20,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,30.0,1000.0,부산광역시 해운대구,35.185966,129.2027921
102,138-4-000100,하나타워주차장,민영,노외,부산광역시 해운대구 중동 1013-1 외,30,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1580141,129.1725905
103,138-4-000101,재송주차장,민영,노외,부산광역시 해운대구 재송동 856-1 외,54,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1869616,129.1189571
104,138-4-000102,글로리아주차장,민영,노외,부산광역시 해운대구 우동 649-5,18,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.15924,129.1569324
105,138-4-000103,방주주차장,민영,노외,부산광역시 해운대구 우동 646-7,17,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1603897,129.15594
106,138-4-000104,주차장,민영,노외,부산광역시 해운대구 송정동 840,10,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.168539,129.1970546
107,138-4-000105,S-Park 주차장,민영,노외,부산광역시 해운대구 우동 638-6 외,12,10:00,22:00,10:00,22:00,10:00,22:00,10,1500,10.0,1500.0,부산광역시 해운대구,35.1618695,129.1576688
108,138-4-000106,송정제일주차장,민영,노외,"부산광역시 해운대구 송정동 323-10,323-13",30,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.188356,129.2010212
109,138-4-000107,해운대해수욕장주차장,민영,노외,부산광역시 해운대구 우동 650-2,38,10:00,22:00,10:00,22:00,10:00,22:00,20,2000,20.0,2000.0,부산광역시 해운대구,35.1587863,129.156487
110,138-4-000108,해운대로주차장,민영,노외,부산광역시 해운대구 우동 639-7,19,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.162183,129.1568336
111,138-4-000109,서목주차장,민영,노외,"부산광역시 해운대구 중동 1012-3, 1015-14외",4,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1578131,129.1729586
112,138-4-000110,송정주차장,민영,노외,"부산광역시 해운대구 송정동 299-8, 299-22",9,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1815362,129.2011196
113,138-4-000111,향토주차장,민영,노외,"부산광역시 해운대구 우동 441-3,9,10",10,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1673537,129.1596247
114,138-4-000112,동남주차장,민영,노외,"부산광역시 해운대구 우동 441-3,9,10",22,10:00,22:00,10:00,22:00,10:00,22:00,30,2000,15.0,1000.0,부산광역시 해운대구,35.1673537,129.1596247
115,138-4-000113,투헤븐호텔주차장,민영,노외,"부산광역시 해운대구 545-1,5",27,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.225023,129.148356
116,138-4-000114,포트주차장,민영,노외,부산광역시 해운대구 송정동 850-1,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1681945,129.1966237
117,138-4-000115,해운대미포주차장,민영,노외,부산광역시 해운대구 중동 947-1,120,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1600965,129.1711705
118,138-4-000116,송정주차장,민영,노외,부산광역시 해운대구 송정동 427-2,101,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.182317,129.2009104
119,138-4-000117,조이박주차장,민영,노외,부산광역시 해운대구 재송동 521-1,2,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.180593,129.1260071
120,138-4-000118,문명주차장,민영,노외,부산광역시 해운대구 송정동 306-8,8,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1809168,129.1980419
121,138-4-000119,원도주차장,민영,노외,부산광역시 해운대구 송정동306-10,5,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1810788,129.1980652
122,138-4-000120,재송동주차장,민영,노외,부산광역시 해운대구 송정동 1118-5,21,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.1895773,129.1991164
123,138-4-000121,삼원주차장,민영,노외,부산광역시 해운대구 반여동 939-1,8,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2077063,129.1243594
124,138-4-000122,알리주차장,민영,노외,부산광역시 해운대구 반여동 939-2,4,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2077821,129.1242594
125,138-4-000123,삼성주차장,민영,노외,부산광역시 해운대구 반여동 939-3,11,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2079254,129.1241636
126,138-4-000124,(구)해운대역주차장,민영,노외,부산광역시 해운대구 반여동 939-4,73,10:00,22:00,10:00,22:00,10:00,22:00,10,500,0.0,0.0,부산광역시 해운대구,35.2077821,129.1242594
127,138-4-000125,송정바다주차장,민영,노외,부산광역시 해운대구 반여동 939-5,26,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0.0,0.0,부산광역시 해운대구,35.2077242,129.1241817
128,144-1-000001,공영주차장(감전중고차시장),공영,노상,부산광역시 사상구 감전동 156-1,108,8:00,20:00,8:00,15:00,0:00,0:00,10,100,10.0,100.0,부산광역시 사상구청,35.1511234,128.9886104
129,144-1-000002,감전시장주변,공영,노상,부산광역시 사상구 감전동 132-7,111,8:00,20:00,8:00,15:00,0:00,0:00,10,100,10.0,100.0,부산광역시 사상구청,35.1545869,128.9861346
130,144-1-000003,파라곤호텔주변,공영,노상,부산광역시 사상구 괘법동 565-6,33,8:00,20:00,8:00,15:00,0:00,0:00,10,100,10.0,100.0,부산광역시 사상구청,35.1619895,128.9803153
