주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명
136-1-001166,청호탕 주변,공영,노상,부산광역시 남구 문현4동 655-149번지 일원,33,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동 방위협의회
136-1-001171,대송주택 주변,공영,노상,부산광역시 남구 문현4동 270-4번지외,19,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동적십자봉사회
136-1-001239,구거복개지,공영,노상,"부산광역시 남구 문현4동 831, 838번지",27,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동 새마을문고
136-1-001255,한일오피스텔 주변,공영,노상,부산광역시 남구 문현4동 814번지,51,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동자유총연맹
136-1-001258,범일아파트 앞,공영,노상,부산광역시 남구 문현4동 1015-12번지 일원,33,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동바르게살기위원회
136-1-001262,현대오일뱅크주유소 옆,공영,노상,부산광역시 남구 문현4동 876-8번지 일원,29,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동새마을부녀회
136-1-001273,신풍상사 주변,공영,노상,부산광역시 남구 문현2동 738-1번지 일원,9,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현2동주민자치위원회
136-1-001317,중앙고등학교 담장주변,공영,노상,부산광역시 남구 대연6동 1779번지,53,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연6동 주민자치위원회
136-1-001376,부산공고담장주변,공영,노상,부산광역시 남구 대연4동 1195-160,59,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연4동 주민자치위원회
136-1-001389,하얏트아파트 주변,공영,노상,"부산광역시 남구 감만2동 33-401, 403번지",12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만2동 청년회
136-1-001393,국제아파트 주변,공영,노상,"부산광역시 남구 감만2동 27-10, 20-63, 28-5번지 일원",21,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만2동 청년회
136-1-001424,성동중학교 담장 주변,공영,노상,부산광역시 남구 문현2동 791-1,17,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현2동 주민자치위원회
136-2-001438,대연1동 공영주차장,공영,노외,부산광역시 남구 남구 대연1동 1750-7,10,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연1동 주민자치위원회
136-1-001484,동일스위트아파트앞,공영,노상,부산광역시 남구 감만1동 73-177번지 일원,23,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만1동주민자치위원회
136-1-000010,솔밭공원 아랫길,공영,노상,"부산광역시 남구 용호1동 356-1, 409-32",13,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000011,용호성당 주변,공영,노상,"부산광역시 남구 용호1동 487-25, 487-10",12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000012,용호맨션 주변,공영,노상,"부산광역시 남구 용호1동 78-11, 78-33",5,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000013,문현교통광장대상지,공영,노상,"부산광역시 남구 문현4동 837-1, 840-3~4",44,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동 새마을지도자협의회
136-1-000001,오양양지아파트 주변,공영,노상,부산광역시 남구 대연6동 1541-5번지,22,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연6동주민자치위원회
136-1-000002,동국제강 진입로,공영,노상,"부산광역시 남구 감만1동 602, 602-1, 570번지",47,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만1동주민자치위원회
136-1-000003,상경아파트 주변,공영,노상,부산광역시 남구 우암동 216-4번지,7,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,우암동 청년회
136-1-000004,E-마트 담벽 주변,공영,노상,부산광역시 남구 E-마트 담벽,14,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현2동 주민자치위원회
136-1-000005,하이빌 주변,공영,노상,부산광역시 남구 문현2동 603번지 일원,11,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현2동 주민자치위원회
136-1-000006,연동마을길,공영,노상,부산광역시 남구 문현4동 1058-1,8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동 새마을문고
136-1-000008,대연성당 주변,공영,노상,부산광역시 남구 대연3동 67-33번지,8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동 주민자치위원회
136-2-000008,동명로118번길 공영주차장,공영,노외,부산광역시 남구 용호4동 485-16,20,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호4동 주민자치위원회
136-1-000009,문현광원맨션 주변,공영,노상,부산광역시 남구 문현1동 557-15번지,30,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
136-1-000011,효성택시 진입로,공영,노상,부산광역시 남구 문현1동 86-7번지,13,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
136-1-000012,대흥택시 주변,공영,노상,부산광역시 남구 대연3동,12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동 새마을부녀회
136-1-000001,유엔평화로9번길(항도빌라주변),공영,노상,"부산광역시 남구 항도빌라,대연중앙교회",11,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연1동 주민자치위원회
136-2-000001,대연천 구거복개지,공영,노외,부산광역시 남구 남구 대연3동 1635-55,6,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동 주민자치위원회
136-1-000004,대연극동아파트 옆,공영,노상,부산광역시 남구 진남로36번길,12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동 주민자치위원회
136-1-000005,남구노인복지관 뒤,공영,노상,부산광역시 남구 진남로18번길,8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동주민자치위원회
136-1-000007,대동교회 주변,공영,노상,부산광역시 남구 수영로249번길,8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동 주민자치위원회
136-1-000008,경성하이빌 주변,공영,노상,"부산광역시 남구 용호1동 423-7, 419-59",13,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-1-000010,(구)대연3동주민센터 주변,공영,노상,"부산광역시 남구 대연3동 393-27, 362-30, 510-23",8,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동주민자치위원회
136-2-000010,동명로157번길 공영주차장,공영,노외,"부산광역시 남구 용호동 373-15,17번지",23,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-1-000011,수영로325번길(번영로아래),공영,노상,부산광역시 남구 대연3동 217-6,49,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동새마을지도자협의회
136-2-000011,용호로232번길 공영주차장,공영,노외,"부산광역시 남구 용호4동 536-1, 536-5",28,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호4동 주민자치위원회
136-1-000012,용호4동 주민센터 주변,공영,노상,부산광역시 남구 동명로 132번길 81-148,24,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호4동 주민자치위원회
136-1-000013,해군아파트아래 담장길,공영,노상,부산광역시 남구 용호4동 동명로 118번길 125~143,11,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호4동 주민자치위원회
136-1-000014,유엔평화로 153번길,공영,노상,부산광역시 남구 유엔평화로153번길 20~48,9,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용당동 주민자치위원장
136-1-000015,119안전센터 옆,공영,노상,부산광역시 남구 우암로 79번길,19,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만1동 주민자치위원회
136-1-000016,성암사 주변,공영,노상,부산광역시 남구 문현1동 71-6번지,22,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
136-1-000017,부림빌라 뒤,공영,노상,부산광역시 남구 고동골로 97번지,6,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현1동 주민자치위원회
136-2-000018,제2문현교통광장 대상지,공영,노외,"부산광역시 남구 문현동 843-1, 843-2",24,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,문현4동 청년회
136-1-000001,수영로266번길(글로리빌라앞),공영,노상,부산광역시 남구 대연3동 548-6번지(글로리빌라 앞 도로),5,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연3동 주민자치위원회
136-2-000002,감만동 홍곡로 공영주차장,공영,노외,부산광역시 남구 감만동 187-9번지,18,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만1동 주민자치위원회
136-2-000003,우암동 당산로 공영주차장,공영,노외,부산광역시 남구 우암동 93-11번지,20,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,우암동 청년회
136-2-000004,삼성시장 배수펌프장 상부,공영,노외,부산광역시 남구 용호동 265-4번지,18,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호1동 주민자치위원회
136-2-000005,스카이워크공영주차장,공영,노외,부산광역시 남구 용호동 950번지,45,8:00,22:00,0:00,0:00,0:00,0:00,0,300,,,부산광역시 남구
136-1-000006,백운포체육공원앞공영주차장,공영,노상,부산광역시 남구 용호동 895-5번지,155,8:00,22:00,0:00,0:00,0:00,0:00,0,100,,,부산광역시 남구
136-2-000007,"이기대제1,제2공영주차장",공영,노외,부산광역시 남구 용호동 15-1번지외,151,0:00,0:00,0:00,0:00,0:00,0:00,0,300,,,부산광역시 남구
136-2-000001,백세교,공영,노외,부산광역시 남구 용호2동 869번지,28,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호2동 주민자치위원회
136-1-000077,사슴빌라 주변,공영,노상,부산광역시 남구 대연5동 1487-15,5,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동 주민자치위원회
136-1-000078,동보빌리지 주변,공영,노상,부산광역시 남구 대연5동 1479-22,12,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동 주민자치위원회
136-1-000079,못골성당 앞,공영,노상,부산광역시 남구 대연5동 1535-2,7,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,대연5동 주민자치위원회
136-2-001045,용호중학교 옆,공영,노외,부산광역시 남구 용호3동 514-4,42,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,용호3동 단체장협의회
136-2-001046,감만2동 제1공영주차장,공영,노외,부산광역시 남구 감만2동 3-47,22,0:00,0:00,0:00,0:00,0:00,0:00,0,40000,,,감만2동 청년회
140-1-000022,금샘로노상공영주차장,공영,노상,부산광역시 금정구 남산동 970-1,183,8:00,20:00,8:00,15:00,0:00,0:00,10,100,10,100,부산광역시 금정구청
140-1-000026,온천천복개도로노상공영주차장,공영,노상,부산광역시 금정구 남산동 18-2,88,8:00,20:00,8:00,15:00,0:00,0:00,10,200,10,200,부산광역시 금정구청
140-1-000027,금정농협앞노상공영주차장,공영,노상,부산광역시 금정구 남산동 320-19,11,8:00,20:00,8:00,15:00,0:00,0:00,10,200,10,200,부산광역시 금정구청
140-2-000001,서1동제1공영주차장,공영,노외,부산광역시 금정구 서동 161-26,22,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000002,서1동제2공영주차장,공영,노외,부산광역시 금정구 서동 509-2,87,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000003,서1동제3공영주차장,공영,노외,부산광역시 금정구 서동 302-1973,80,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000004,서1동제4공영주차장,공영,노외,부산광역시 금정구 부곡동 961,61,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
140-2-000005,서2동공영주차장,공영,노외,부산광역시 금정구 서동 200-3,73,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 금정구청
140-2-000006,서2동오차로공영주차장,공영,노외,부산광역시 금정구 서동 302-1049,29,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 금정구청
